Nome_filme;Metascore;Ano_lancamento;Bilheteria;Id_personagem
Homem de Ferro;79;2008;585366247;/Iron_Man_(Anthony_%22Tony%22_Stark)
O incrivel Hulk;61;2008;263427551;/Hulk_(Robert_Bruce_Banner)
Homem de Ferro 2;57;2010;623933331;/Iron_Man_(Anthony_%22Tony%22_Stark)
Thor;57;2011;449326618;/Thor_(Thor_Odinson)
Capitao America: O Primeiro Vingador;66;2011;370569774;/Captain_America_(Steven_Rogers)
Homem de Ferro 3;62;2013;1214811252;/Iron_Man_(Anthony_%22Tony%22_Stark)
Thor: O Mundo Sombrio;54;2013;644783140;/Thor_(Thor_Odinson)
Capitao America: O Soldado Invernal;70;2014;714421503;/Captain_America_(Steven_Rogers)
Capitao America guerra civil;75;2016;1153296293;/Captain_America_(Steven_Rogers)
Doutor Estranho;72;2016;677718395;/Stephen_Strange_(Earth-616)
Homem-Aranha: De Volta ao Lar;73;2017;880166924;/Spider-Man_(Peter_Parker)
Thor: Ragnarok;74;2017;853977126;/Thor_(Thor_Odinson)
Pantera negra;88;2018;1346913161;/T%27Challa_(Earth-616)
Capita Marvel;64;2019;1128274794;/Carol_Danvers_(Earth-616)
Homem-Aranha: Longe de Casa;69;2019;1131927996;/Spider-Man_(Peter_Parker)
Batman begins;70;2005;373413297;/wiki/Batman_(Bruce_Wayne) 
O Retorno do Super-Homem;72;2006;391081192;/wiki/Superman_(Clark_Kent) 
Batman: O Cavaleiro das Trevas;84;2008;1004934033;/wiki/Batman_(Bruce_Wayne) 
Lanterna Verde;39;2011;219851172;/wiki/Green_Lantern_(Hal_Jordan)
Batman: O Cavaleiro das Trevas Ressurge;78;2012;1081041287;/wiki/Batman_(Bruce_Wayne) 
Homem de Aco;55;2013;668045518;/wiki/Superman_(Clark_Kent) 
Mulher Maravilha;76;2017;821847012;/wiki/Wonder_Woman_(Diana_Prince)
Aquaman;55;2018;1148161807;/wiki/Aquaman_(Arthur_Curry)
Coringa;59;2019;1060504580;/wiki/Joker_(New_Earth)
